datetime,open,high,low,close,volume,symbol
2023-03-24,191.64999,192.36,187.14999,190.41,116312400,TSLA
2023-03-27,194.42,197.39,189.94,191.81,120851600,TSLA
2023-03-28,192.0,192.35001,185.42999,189.19,98654600,TSLA
2023-03-29,193.13,195.28999,189.44,193.88,123660000,TSLA
2023-03-30,195.58,197.33,194.42,195.28,110252200,TSLA
2023-03-31,197.53,207.78999,197.2,207.46001,170222100,TSLA
2023-04-03,199.91,202.69,192.2,194.77,169545900,TSLA
2023-04-04,197.32001,198.74001,190.32001,192.58,126463800,TSLA
2023-04-05,190.52,190.67999,183.75999,185.52,133882500,TSLA
2023-04-06,183.08,186.39,179.74001,185.06,123857900,TSLA
2023-04-10,179.94,185.10001,176.11,184.50999,142154600,TSLA
2023-04-11,186.69,189.19,185.64999,186.78999,115770900,TSLA
2023-04-12,190.74001,191.58,180.31,180.53999,150256300,TSLA
2023-04-13,182.96001,186.5,180.94,185.89999,112933000,TSLA
2023-04-14,183.95,186.28,182.00999,185.0,96438700,TSLA
2023-04-17,186.32001,189.69,182.69,187.03999,116662200,TSLA
2023-04-18,187.14999,187.69,183.58,184.31,92067000,TSLA
2023-04-19,179.10001,183.5,177.64999,180.59,125732700,TSLA
2023-04-20,166.17,169.7,160.56,162.99001,210970800,TSLA
2023-04-21,164.8,166.0,161.32001,165.08,123539000,TSLA
2023-04-24,164.64999,165.64999,158.61,162.55,140006600,TSLA
2023-04-25,159.82001,163.47,158.75,160.67,121999300,TSLA
2023-04-26,160.28999,160.67,153.14,153.75,153364100,TSLA
2023-04-27,152.64,160.48,152.37,160.19,127015200,TSLA
2023-04-28,160.89999,165.0,157.32001,164.31,122515800,TSLA
2023-05-01,163.17,163.28,158.83,161.83,109015000,TSLA
2023-05-02,161.88,165.49001,158.92999,160.31,128259700,TSLA
2023-05-03,160.00999,165.0,159.91,160.61,119728000,TSLA
2023-05-04,162.71001,162.95,159.64999,161.2,95108500,TSLA
2023-05-05,163.97,170.78999,163.50999,170.06,107440900,TSLA
2023-05-08,173.72,173.8,169.19,171.78999,112249400,TSLA
2023-05-09,168.95,169.82001,166.56,169.14999,88965000,TSLA
2023-05-10,172.55,174.42999,166.67999,168.53999,119840700,TSLA
2023-05-11,168.7,173.57001,166.78999,172.08,103889900,TSLA
2023-05-12,176.07001,177.38,167.23,167.98,157577100,TSLA
2023-05-15,167.66,169.75999,164.55,166.35001,105592500,TSLA
2023-05-16,165.64999,169.52,164.35001,166.52,98288800,TSLA
2023-05-17,168.41,174.5,167.19,173.86,125473600,TSLA
2023-05-18,174.22,177.06,172.45,176.89,109520300,TSLA
2023-05-19,177.17,181.95,176.31,180.14,136024200,TSLA
2023-05-22,180.7,189.32001,180.11,188.87,132001400,TSLA
2023-05-23,186.2,192.96001,185.25999,185.77,156952100,TSLA
2023-05-24,182.23,184.22,178.22,182.89999,137605100,TSLA
2023-05-25,186.53999,186.78,180.58,184.47,96870700,TSLA
2023-05-26,184.62,198.60001,184.53,193.17,162061500,TSLA
2023-05-30,200.10001,204.48,197.53,201.16,128818700,TSLA
